Place,Description,Location,Ages,Ticket Price,Event Start Date,Event End Date,Opening Hours
Climbing Explorers,A monthly training program designed for both boys and girls aged 10-16 years. The program aims to develop skills and enhance physical fitness in a fun and safe environment.,Jeddah,Above 15,30 SAR per person,8/12/2024,12/9/2024,6:30 AM to 8:30 PM
Fun Climbing,A guided one-day climbing experience designed for both boys and girls aged 10-16 years. This experience aims to teach the basics of climbing,Jeddah,Above 15,10 SAR per person,8/5/2024,12/7/2024,5:00 AM to 6:00 PM
Discover Climbing,A guided one-day climbing experience designed for adults aged 16 and above,Jeddah,Adults,150 SAR per person,8/5/2024,12/2/2024,6:00 AM to 7:00 PM
Al Bahah Clouds Trip: highlights the beauty of the towering Al Bahah Mountains,Al Bahah region is an ideal destination for lovers of picturesque nature,Al baha,Adults,70 SAR per person,5/31/2024,2/16/2025,5:00 AM to 7:00 PM
"Madinah City Tour: Visit The Prophet's Mosque, Ad Dar Mosque, Al Qiblatayn Mosque & More Religious Landmarks",We will start our tour by visiting the Al-Masjid an-Nabawi,Al Madinah,Above 12,10 SAR per person,3/4/2024,12/31/2024,6:00 AM to 8:00 PM
Full Day Riyadh City Tour,We start our tour of Riyadh by visiting the primary custodian of the Saudi national heritage and culture,Riyadh,All,Free Pass,12/2/2023,12/30/2024,5:30 AM to 7:30 PM
One-Day Sightseeing Tour in Jeddah,Explore the vibrant energy of New Jeddah Corniche and immerse yourself in the rich history of Albalad's ancient streets,Jeddah,All,40 SAR per person,3/3/2024,1/12/2025,7:00 AM to 9:00 PM
Unique Moments in Al-Ahsa ,The meaning of the name Al-Ahsa is the sound of groundwater. It is one of the largest oases in the world and the largest oasis in the Kingdom of Saudi Arabia because it contains thirty water springs. It is noted that its water is natural and suitable for irrigation. It extends from the Arabian Gulf to Oman,AlAhsa,Above 12,40 SAR per person,12/5/2024,1/3/2025,6:30 AM to 8:30 PM
2 Days All-Inclusive Package- Enjoy King Abdullah Economic City With Your Loved Ones,Step into a world of luxury,KAEC,Above 12,70 SAR per person,12/12/2023,3/26/2025,5:00 AM to 6:00 PM
5-Day Adventure To The Empty Quarter,Your passion for adventure is filling up your heart and the thirst for adrenaline rush overgrowing day by day!?Have a deep desire to break your life routine? Then time to hit the road with Ghamra to the Rub’ al Khali ( the Empty Quarter). A one of a kind trip in which you unlock a new level of adventure,Riyadh,Adults,40 SAR per person,1/2/2024,12/7/2024,6:00 AM to 7:00 PM
Half Day Riyadh City Tour,We proceed into old Riyadh,Riyadh,Above 12,30 SAR per person,2/8/2024,12/30/2024,5:00 AM to 7:00 PM
Aseer Long Weekend Trip - 3 Days Trip,The heart of the Asir region,Aseer,All,30 SAR per person,11/16/2023,10/29/2024,6:00 AM to 8:00 PM
Crossing the Empty Quarter - Um Alhesh Lake Trip,One of the most thrilling tourist adventures is crossing the Empty Quarter,Riyadh,Above 15,50 SAR per person,11/21/2023,3/6/2025,5:30 AM to 7:30 PM
Khyber Heritage Tour,Get ready for a 8-hour adventure across the ancient oasis of Khaybar and enjoy a closer look at prehistoric Saudi Arabia.,Al Madinah,Above 12,20 SAR per person,7/9/2025,7/9/2025,7:00 AM to 9:00 PM
Journey of the centuries and Raydah reserve,Experience Abha like never before on this amazing three-day,Aseer,Above 12,Free Pass,7/31/2023,1/3/2025,6:30 AM to 8:30 PM
Explore the sacred treasures of Makkah,Embark on a captivating journey around Makkah to get insight into the city's sacred traditions,Makkah,Above 15,Free Pass,5/25/2024,1/4/2025,5:00 AM to 6:00 PM
"Jeddah City Tour with Lunch: Explore Culture, Art and History",Visit Al Tayebat International City A tour through history in the Al Tayebat International City for Science and Knowledge,Jeddah,Adults,60 SAR per person,2/7/2024,2/2/2025,6:00 AM to 7:00 PM
Travel Through Time In Shaqra & Ushaiger,Embark on a fascinating journey into the heart of Saudi Arabia's rich heritage and culture in this remarkable day trip to two of Saudi Arabia's historic towns,Riyadh,Adults,10 SAR per person,1/6/2024,12/28/2024,5:00 AM to 7:00 PM
Explore the Wildlife and Nature in Sharaan Nature Reserve,Set out on a day trip of discovery and wonder in AlUla,Al-Ula,All,20 SAR per person,1/6/2024,12/29/2024,6:00 AM to 8:00 PM
Embark on a hiking adventure in Taif,Lace-up your boots and set out on a refreshing 4-kilometre hike through the captivating Wadi Al Mukhadah,Taif,All,30 SAR per person,4/6/2024,11/30/2024,5:30 AM to 7:30 PM
Beach Horse Riding Experience in Jeddah,Immerse yourself in the culture of Saudi Arabia as you giddy up for a fantastic horse riding experience in Jeddah. Arrive at the meeting point and head inside an equestrian centre to get first-hand knowledge from professional trainers about horses and their different breeds. Learn more about the Arabian horse,Jeddah,Above 12,20 SAR per person,12/31/2023,12/29/2024,7:00 AM to 9:00 PM
Explore Saudi Heritage In Riyadh,Embark on a unique adventure where you will get a chance to explore and visit top attractions in Riyadh that showcase the rich cultural heritage of Saudi Arabia. Start by embarking on a guided tour of the splendid Al Masmak Fortress,Riyadh,Above 15,Free Pass,12/30/2023,12/7/2024,6:30 AM to 8:30 PM
"Historic Jeddah Day Tour: Visit Beit Saloum, Baashen House and Matbouli House and more",Explore Historic Jeddah,Jeddah,Above 15,20 SAR per person,12/28/2023,12/26/2024,5:00 AM to 6:00 PM
Explore the artistic heritage of Abha,Explore the cultural and artistic heritage of Abha as you make your way to Fatima Museum,Aseer,Adults,50 SAR per person,12/30/2023,12/28/2024,6:00 AM to 7:00 PM
Explore Jazan's coffee & traditional treasures,Set out on an unforgettable trip around Jazan to explore its iconic cultural attractions and a unique tour of a coffee farm nestled within the awe-inspiring Fifa mountains covered in sprawling green flora. Feast your eyes on the ethereal landscape surrounding the farm,Jazan,Adults,40 SAR per person,12/30/2023,12/28/2024,5:00 AM to 7:00 PM
Experience Traditional Saudi Hospitality In Riyadh,Experience the magic of the Arabian desert on a day trip from Riyadh to a local desert camp. Get picked up from your hotel or a meeting point in central Riyadh and get transported to the desert,Riyadh,Above 12,20 SAR per person,5/11/2024,1/11/2025,6:00 AM to 8:00 PM
Nofa Adventure Park,Nofa Adventure Park is located at Nofa Resorts in its unique natural beauty setting. Exciting adventures awaits you.,Riyadh,Above 15,90 SAR per person,8/28/2024,1/16/2025,5:30 AM to 7:30 PM
"A Delightful Visit to a Hasawi Home: Folk games, Traditional Cooking, Soothing Music & Much more",Journey to Al Ahsa to experience its rich culture and traditions. Hosted by Sarah Allouqman,Al Ahsa,All,10 SAR per person,3/27/2024,1/28/2025,7:00 AM to 9:00 PM
Experience the Charming Hospitality of Al Ahsa (Women Only),Experience the best of Hasawi hospitality during this amazing experience. Hosted by Jawahr Saleh,Al Ahsa,Above 12,30 SAR per person,3/27/2024,1/28/2025,6:30 AM to 8:30 PM
"Experience Old Hasawi Traditions in a Charming Private Home: Traditional Handicrafts, Folk Games & More",Journey through the past on this authentic experience in Al Ahsa. Hosted by Sarah Allouqman,Al Ahsa,Adults,90 SAR per person,3/27/2024,1/28/2025,5:00 AM to 6:00 PM
"A Breathtaking Visit to a Farm in Al Ahsa: Lemon Picking, Making Lemon Drinks and Connecting with Nature",During this enriching experience you’ll visit a farm in Al Ahsa to learn how to pick and store lemons and make cold and hot drinks from them,Al Ahsa,All,Free Pass,3/27/2024,1/28/2025,6:00 AM to 7:00 PM
"Traditional Saudi Wedding Experience in Al Ahsa: Henna, Poetic Songs, Performances & More",Al Ahsa has many special customs and traditions,Al Ahsa,All,Free Pass,3/27/2024,1/28/2025,5:00 AM to 7:00 PM
Experience the Authenticity of Taif Hospitality in a Private Home,Taif is known for its stunning nature,Taif,Above 12,120 SAR per person,3/27/2024,1/28/2025,6:00 AM to 8:00 PM
Open-Topped Vehicle Safari at Nofa,A Thrilling Adventure,Riyadh,All,30 SAR per person,8/28/2024,1/23/2025,5:30 AM to 7:30 PM
Camel-Back Safari at Nofa,Embark On An Unforgettable Adventure,Riyadh,Above 15,90 SAR per person,8/28/2024,1/16/2025,7:00 AM to 9:00 PM
Tour The Eastern Region's Cultural Jewels,Embark on a cultural journey through the three main vibrant cities in Saudi Arabia's Eastern Region: Dammam,Dammam,Above 15,50 SAR per person,5/1/2024,1/1/2025,6:30 AM to 8:30 PM
Uncover the glorious past of Hail,Begin your exploration with Jabal Umm Sinman,Hail,Above 12,40 SAR per person,4/27/2024,12/28/2024,5:00 AM to 6:00 PM
Set off On A Camping Adventure In Riyadh,Embark on an exhilarating desert adventure,Riyadh,Adults,150 SAR per person,12/8/2023,1/3/2025,6:00 AM to 7:00 PM
Taif Romance Getaway - 3 Days Trip,“A romantic tour of the Kamal Taif Rose Factory,Taif,Above 12,60 SAR per person,12/15/2023,5/11/2025,5:00 AM to 7:00 PM
5 Day Trip - Discover The Best of The Eastern Province,Embark on a captivating journey through the Eastern Province of Saudi Arabia. The adventure starts at the Yellow Lake in Al Ahsa where you'll experience the thrill of sand off-roading,Dammam,All,40 SAR per person,11/2/2023,11/8/2024,6:00 AM to 8:00 PM
Diving Adventure (For Licensed Divers),Diving with fish and enjoying the view of coral reefs is an insatiable passion. The Red Sea offers the most beautiful and pristine waters where you can dive without ever getting tired of it. Travel to the depths of the sea and breathe underwater,Jeddah,Above 15,60 SAR per person,3/7/2024,11/29/2024,5:30 AM to 7:30 PM
Red Sea Diving Adventure,It is said that the Red Sea got its name due to the abundance of colorful coral reefs,Jeddah,Above 15,70 SAR per person,3/8/2024,11/8/2024,7:00 AM to 9:00 PM
Tour in Riyadh: Explore Historical Diriyah And King Abdullah Financial District (KAFD) + Dinner,Embark on an unforgettable journey to Saudi Arabia's rich and storied past before transporting you to its futuristic present. Gather at the meeting point and head to Diriyah,Riyadh,Adults,10 SAR per person,4/25/2024,12/26/2024,6:30 AM to 8:30 PM
Immerse in the historical wonders of Qassim,A day brimming with culture and excitement awaits you! Begin your trip with a visit to the historic Camel Market,Qassim,Above 15,70 SAR per person,4/27/2024,12/28/2024,5:00 AM to 6:00 PM
A Treasure Trove Of Wonders In Najran,Start your day with a visit to the Janabi Market which offers a delightful array of souvenirs to cherish. Head to the Al-Aan Palace which is adorned with intricate white decorations along its edges and exudes cultural significance. Up next is an amazing opportunity to discover the majestic Raum Castle,Najran,Above 15,30 SAR per person,4/20/2024,1/11/2025,6:00 AM to 7:00 PM
An archaeological expedition in AlJouf,Gear up for a day dotted with historical experiences & archaeological explorations. Head to Zaabal Castle,Al-Jouf,Adults,Free Pass,4/21/2024,12/22/2024,5:00 AM to 7:00 PM
A fascinating trip to Farasan Islands,Enjoy a day filled with adventure as you set out from Jazan on an extraordinary trip to the Farasan Islands. Assemble at the meeting point to commence your journey with a scenic transfer and sail aboard a ferry toward the island's captivating allure. On reaching the island,Jazan,All,20 SAR per person,4/22/2024,12/23/2024,6:00 AM to 8:00 PM
Unveil the beauty of Farasan Islands,Rise and shine for a fun-filled day as you embark on an unforgettable journey to the Farasan Islands,Jazan,Adults,70 SAR per person,4/20/2024,12/21/2024,5:30 AM to 7:30 PM
Morning Desert Safari in Jeddah,In about one hour drive from Jeddah city,Jeddah,Above 12,Free Pass,2/21/2024,12/31/2024,7:00 AM to 9:00 PM
"Day Pass - Full day of entertainment, activities, and dining at Nofa",Day pass for 500SR per person credit to use it in enterinment and activities and retaurants icluding entertinment center,Riyadh,Above 15,40 SAR per person,8/21/2024,12/21/2024,6:30 AM to 8:30 PM
Embark on a kayaking adventure in KAEC,Head out on a laid-back kayaking adventure in King Abdullah Economic City (KAEC) from Jeddah and take this time to appreciate the world's largest privately-funded new city. This tour is ideal for families,KAEC,Above 15,10 SAR per person,1/3/2024,12/29/2024,5:00 AM to 6:00 PM
Wadi Lajab Farms and Hiking Adventures,Explore Jazan's splendid scenic beauty as you drive to the mesmerising Wadi Lajab,Jazan,Above 12,50 SAR per person,12/28/2023,12/26/2024,6:00 AM to 7:00 PM
Taif trip,This experience will take you right into the heart of Taif,Taif,All,50 SAR per person,7/31/2023,1/3/2025,5:00 AM to 7:00 PM
3 Days All-Inclusive Abha Trip,Abha beautiful nature,Aseer,Adults,120 SAR per person,9/4/2023,4/28/2025,6:00 AM to 8:00 PM
Edge Of The World With Dinner,An exciting drive to the amazing “Edge of the World”,Riyadh,Adults,60 SAR per person,12/1/2023,2/1/2025,5:30 AM to 7:30 PM
"Hosting In Beit Al-Hara, A House That Tells The Life Of The People Of Medina 100 Years Ago",Mohamed and his family love to welcome you in their home that has hosted several visitors to a place where there is a reception for guests,Al Madinah,Above 15,70 SAR per person,4/19/2024,12/9/2024,7:00 AM to 9:00 PM
Alazm Safari & Adventures,Book Your Unique Adventure with Azm Safari,Aseer,Above 15,70 SAR per person,8/16/2024,10/9/2024,6:30 AM to 8:30 PM
Historical Jeddah Walking Tour,Let us take you on a journey through history and culture in a historical tour of Jeddah. You will visit the most beautiful and oldest archaeological and architectural landmarks in the city,Jeddah,Above 12,10 SAR per person,3/7/2024,10/20/2024,5:00 AM to 6:00 PM
ASEER WEEKEND RETREAT | 3 DAYS HiHomeXMezwalah,Three-day rural retreat: farm-to-table experiences,Aseer,Above 12,150 SAR per person,6/6/2024,8/31/2024,6:00 AM to 7:00 PM
Capital Riyadh Tour,Visit Masmak Palace A fun tour in the oldest popular market in Riyadh,Riyadh,Above 12,50 SAR per person,2/7/2024,1/1/2025,5:00 AM to 7:00 PM
Explore the beauty of nature in Al-Habala Village,Get ready and head to the village of Al-Habala Heading to the village of Al-Habla in a private,Aseer,All,Free Pass,2/7/2024,1/18/2025,6:00 AM to 8:00 PM
Discover Tabuk & Neom- 3 Days Trip,A tour to explore the various landmarks of Tabuk from mountains,Tabuk,All,30 SAR per person,11/16/2023,9/5/2024,5:30 AM to 7:30 PM
Talabak Jahez Play,People’s love for food is diverse,Jeddah,Above 15,30 SAR per person,10/31/2024,11/2/2024,7:00 AM to 9:00 PM
Talbeen Alqorb,A young man from a working class defies the refusal of his rich lover's father and confronts him with a fait accompli by bringing the notary public,Riyadh,All,50 SAR per person,10/22/2024,11/2/2024,6:30 AM to 8:30 PM
My heart and its ghosts,While filming a horror movie inside an abandoned mansion,Riyadh,Above 12,70 SAR per person,10/29/2024,11/2/2024,5:00 AM to 6:00 PM
One Mic Comedy Shows,"Get ready for an epic comedy weekend! Join us for ""Broken Phone"" on Thursday and the unforgettable ""One Mic Special"" on Friday. Saudi Arabia's top comedians bring you stand-up",Riyadh,Above 15,20 SAR per person,10/24/2024,10/25/2024,6:00 AM to 7:00 PM
Mina Nader in Riyadh - Stand Up Comedy Show at Comedy Pod,A stand up comedy show presented by the amazing Egyptian comic Mina Nader at Comedy Pod in Riyadh Language: ??????? | Arabic,Riyadh,Adults,70 SAR per person,10/26/2024,10/26/2024,5:00 AM to 7:00 PM
Very Sary Night - Stand Up Comedy Show This Saturday at Comedy Pod,A stand-up comedy show with a twist... Hosted by the amazing star,Riyadh,Adults,150 SAR per person,10/12/2024,10/12/2024,6:00 AM to 8:00 PM
Shojaa Show | Musical Show - Huwayer's Rescue,"Immerse yourself in the enchanting world of the ""Shojaa Musical Show",Jeddah,Adults,30 SAR per person,10/24/2024,10/26/2024,5:30 AM to 7:30 PM
Battle Kart: Karting Experience,BATTLEKART Karting Experience in Riyadh offers the world's first real-life video game-based karting. Engage in a thrilling race track war,Riyadh,Adults,60 SAR per person,1/26/2024,1/1/2025,7:00 AM to 9:00 PM
Big Fun Museum,An awesome journey awaits you through new worlds in the “Museum of Illusions”,Riyadh,Above 15,30 SAR per person,1/9/2024,1/29/2025,6:30 AM to 8:30 PM
Al Hilal vs Al Taawoun - Roshn Saudi League Match Round 8,Al-Hilal vs Al-Taawoun - Roshn Saudi League Experience the thrill of live football as Al-Hilal goes head-to-head against Al-Taawoun of the Roshn Saudi League,Riyadh,Above 12,Free Pass,10/26/2024,10/26/2024,5:00 AM to 6:00 PM
WWE Crown Jewel,WWE Presents Crown Jewel at Mohammed Abdo Arena,Riyadh,Above 15,70 SAR per person,11/2/2024,11/2/2024,6:00 AM to 7:00 PM
Saudi Arabia vs Tajikistan – U-20 Women’s National Team,An exciting clash in the women's football match as the Saudi Arabia U-20 women’s national team takes on Tajikistan in an international friendly match. The match will take place in Dubai Police Club Stadium in King Abdullah Sports City Reserve Field - Jeddah Join us to support the saudi women’s team and witness an impressive display of talent,Jeddah,Above 15,20 SAR per person,10/25/2024,10/25/2024,5:00 AM to 7:00 PM
Al Ettifaq vs Al Qadsiah- Roshn Saudi League Round 9,Book your seat for the Al Ettifaq vs Al Qadsiah Roshn Saudi League Round 9 on webook.com. Secure your tickets now for an unforgettable match day experience!,Dammam ,Above 15,40 SAR per person,11/2/2024,11/2/2024,6:00 AM to 8:00 PM
Latino Night - Energetic Vibes & Unforgettable Beats,A thrilling Latino night with energetic vibes and vibrant beats,Riyadh,All,120 SAR per person,11/16/2024,11/16/2024,5:30 AM to 7:30 PM
Improv Comedy Show - Comedy Pod,Experience the thrill of Improv Night,Riyadh,Above 12,Free Pass,6/1/2024,6/1/2024,7:00 AM to 9:00 PM
Stand Up Comedy Show This Weekend - Comedy Pod,A legendary stand-up show featuring local and Arab comedy stars at Comedy Pod,Riyadh,Adults,20 SAR per person,6/1/2024,6/1/2024,6:30 AM to 8:30 PM
New Jokes Comedy Show Saturday - Comedy Pod,A two-hour stand-up show showcasing new comedians and fresh jokes,Riyadh,Above 15,30 SAR per person,6/1/2024,6/1/2024,5:00 AM to 6:00 PM
WWE Experience,Welcome to the WWE Experience! Enjoy an immersive wrestling event.,Riyadh,Above 12,Free Pass,2/16/2024,2/17/2024,6:00 AM to 7:00 PM
"Bluey ""Dream land""",Embark on endless adventures with Bluey and Bingo in the amazing world of dreams,Riyadh,All,60 SAR per person,10/13/2024,10/14/2024,5:00 AM to 7:00 PM
PUBG MOBILE,Experience PUBG like never before with exciting laser battles. Compete to be the last survivor in an unforgettable battle.,Riyadh,Above 12,40 SAR per person,10/13/2024,10/14/2024,6:00 AM to 8:00 PM
Detective Conan,Be the detective,Riyadh,Above 15,20 SAR per person,10/13/2024,10/14/2024,5:30 AM to 7:30 PM
BLVD Dolphinarium,Enjoy new shows,Riyadh,Above 15,50 SAR per person,10/13/2024,10/14/2024,7:00 AM to 9:00 PM
Swimming with Dolphins,Create wonderful memories with the experience of swimming with dolphins.,Riyadh,Above 12,Free Pass,10/13/2024,10/14/2024,6:30 AM to 8:30 PM
Five Nights At Freddy’s “Security Breach”,Face new levels of horror and challenges in the latest version of Five Nights at Freddy's. Will you survive and escape the mall safely?,Riyadh,Adults,20 SAR per person,10/13/2024,10/14/2024,5:00 AM to 6:00 PM
Oasis,Enjoy a unique beach experience with waves of plastic balls and various fun activities.,Riyadh,Above 15,40 SAR per person,10/13/2024,10/14/2024,6:00 AM to 7:00 PM
Mystery of the Nile,Embark on a journey inside ancient Egyptian tombs and face the wrath of the Nile.,Riyadh,Above 12,90 SAR per person,10/13/2024,10/14/2024,5:00 AM to 7:00 PM
Doll's Trip,Explore an island filled with mysterious floating dolls and experience an unforgettable horror adventure.,Riyadh,Above 15,50 SAR per person,10/13/2024,10/14/2024,6:00 AM to 8:00 PM
The Vampire Hotel,Visit an Italian-style hotel filled with survival challenges and scary surprises. Can you escape safely?,Riyadh,Above 12,50 SAR per person,10/13/2024,10/14/2024,5:30 AM to 7:30 PM
Secret of Scarab “Escape Room”,Solve puzzles,Riyadh,Above 12,30 SAR per person,10/16/2024,10/17/2024,7:00 AM to 9:00 PM
BLVD Forest,Experience rare exotic animals and interactive wildlife encounters in a new African-inspired setting.,Riyadh,All,50 SAR per person,10/13/2024,10/14/2024,6:30 AM to 8:30 PM
Pyramid Trail,Face challenges and solve puzzles inside an ancient pyramid to emerge victorious.,Riyadh,Adults,150 SAR per person,10/13/2024,10/14/2024,5:00 AM to 6:00 PM
Top Shot,Enjoy a tactical airsoft and combat experience designed for thrill-seekers and military enthusiasts.,Riyadh,Above 15,Free Pass,10/13/2024,10/14/2024,6:00 AM to 7:00 PM
A Lot Like Life,Enter a city turned into a nightmare by an epidemic,Riyadh,Above 12,50 SAR per person,10/24/2024,10/25/2024,5:00 AM to 7:00 PM
PFL Championships,Witness the PFL Championships with showdowns in multiple divisions and a $1 million prize for each winner. Featuring Saudi MMA star Hattan Al Saif.,Riyadh,Above 12,70 SAR per person,11/29/2024,11/29/2024,6:00 AM to 8:00 PM
,,,,,,,
